iter	Passed	Remaining
537	7958	49718
538	7972	49696
539	7985	49669
540	8001	49665
541	8014	49636
542	8026	49609
543	8040	49587
544	8054	49567
545	8071	49568
546	8084	49543
547	8097	49517
548	8113	49506
549	8127	49486
550	8146	49499
551	8163	49500
552	8178	49483
553	8194	49477
554	8208	49459
555	8228	49473
556	8242	49454
557	8256	49434
558	8272	49427
559	8286	49408
560	8304	49412
561	8318	49390
562	8332	49372
563	8345	49347
564	8358	49320
565	8376	49324
566	8389	49302
567	8402	49276
568	8415	49251
569	8429	49228
570	8446	49231
571	8460	49211
572	8474	49191
573	8490	49181
574	8502	49153
575	8520	49157
576	8534	49135
577	8547	49112
578	8562	49097
579	8579	49097
580	8600	49115
581	8616	49107
582	8632	49100
583	8647	49084
584	8661	49068
585	8683	49090
586	8698	49078
587	8713	49066
588	8728	49051
589	8743	49040
590	8762	49045
591	8776	49026
592	8790	49005
593	8803	48981
594	8815	48953
595	8834	48961
596	8848	48941
597	8862	48922
598	8876	48904
599	8891	48886
600	8910	48898
601	8924	48876
602	8937	48852
603	8949	48822
604	8962	48795
605	8979	48795
606	8991	48766
607	9005	48743
608	9018	48720
609	9031	48694
610	9047	48688
611	9062	48674
612	9075	48650
613	9087	48621
614	9110	48645
615	9132	48674
616	9147	48656
617	9160	48632
618	9173	48608
619	9186	48586
620	9204	48584
621	9218	48568
622	9231	48543
623	9244	48521
624	9260	48508
625	9282	48531
626	9294	48505
627	9308	48482
628	9322	48463
629	9335	48443
630	9353	48443
631	9366	48420
632	9380	48398
633	9393	48373
634	9405	48345
635	9424	48352
636	9437	48327
637	9451	48308
638	9464	48287
639	9478	48263
640	9499	48282
641	9512	48258
642	9524	48230
643	9537	48206
644	9550	48184
645	9570	48191
646	9583	48167
647	9596	48145
648	9609	48122
649	9622	48099
650	9641	48101
651	9656	48090
652	9672	48080
653	9685	48058
654	9698	48034
655	9716	48033
656	9730	48015
657	9743	47992
658	9758	47975
659	9772	47957
660	9790	47962
661	9805	47945
662	9821	47935
663	9836	47923
664	9848	47896
665	9866	47894
666	9878	47868
667	9892	47849
668	9906	47827
669	9919	47805
670	9936	47802
671	9952	47792
672	9965	47769
673	9978	47746
674	9992	47728
675	10010	47728
676	10024	47710
677	10038	47689
678	10051	47668
679	10066	47650
680	10084	47653
681	10097	47629
682	10110	47606
683	10124	47586
684	10140	47578
685	10159	47582
686	10174	47569
687	10188	47552
688	10202	47530
689	10214	47507
690	10233	47508
691	10248	47493
692	10262	47475
693	10276	47459
694	10291	47445
695	10311	47452
696	10329	47454
697	10344	47441
698	10358	47422
699	10372	47401
700	10390	47402
701	10405	47385
702	10418	47365
703	10432	47344
704	10445	47322
705	10462	47318
706	10479	47313
707	10495	47302
708	10508	47281
709	10521	47259
710	10540	47262
711	10556	47251
712	10570	47232
713	10583	47211
714	10596	47187
715	10613	47180
716	10627	47162
717	10639	47137
718	10653	47119
719	10666	47096
720	10684	47095
721	10699	47078
722	10713	47063
723	10731	47063
724	10752	47073
725	10775	47093
726	10790	47081
727	10804	47059
728	10818	47041
729	10834	47034
730	10852	47032
731	10865	47009
732	10879	46989
733	10891	46965
734	10905	46945
