iter	R2	RMSE
1225	0.425527016	1.829510249
1230	0.4258176163	1.829047524
1235	0.4261400713	1.828533678
1240	0.4263339726	1.828225615
1245	0.4266013633	1.827798205
1250	0.4269350488	1.827266898
1255	0.4272303541	1.826796803
1260	0.4274339302	1.826471403
1265	0.4276967554	1.826052752
1270	0.427909648	1.825712459
1275	0.4281947686	1.825258017
1280	0.4284184545	1.824901879
1285	0.4286931828	1.824462147
1290	0.4289712485	1.824018078
1295	0.4292043169	1.82364642
1300	0.4295191088	1.823143249
1305	0.4297478228	1.822777297
1310	0.4300606577	1.82227733
1315	0.4303170859	1.821867552
1320	0.4305566143	1.821484611
1325	0.4308863944	1.820956849
1330	0.431140228	1.820550582
1335	0.4313950789	1.82014372
1340	0.4318115807	1.819475672
1345	0.4320544208	1.81908669
1350	0.4322793223	1.81872733
1355	0.4325684671	1.818264523
1360	0.432876922	1.817768713
1365	0.4331523433	1.817327543
1370	0.4333536541	1.817005702
1375	0.4336333144	1.816556859
1380	0.4339206107	1.816095371
1385	0.4343031138	1.815481169
1390	0.4345977193	1.815009679
1395	0.4348969882	1.814528262
1400	0.4352450691	1.813970426
1405	0.4356184244	1.813371229
1410	0.435916493	1.812891037
1415	0.4361677768	1.812487364
1420	0.4364105967	1.812098109
1425	0.436668117	1.81168314
1430	0.4368517341	1.81138846
1435	0.4370987787	1.810990663
1440	0.4374134786	1.810484408
1445	0.4377229306	1.809986394
1450	0.4380509673	1.809457954
1455	0.4382353771	1.809161248
1460	0.43850553	1.808726296
1465	0.4387605533	1.808315472
1470	0.4390783996	1.80780304
1475	0.4393183592	1.807417047
1480	0.4395458242	1.807049575
1485	0.4397393757	1.80673785
1490	0.4400184316	1.806287323
1495	0.4402355292	1.805937295
1500	0.4404897072	1.80552714
1505	0.4407753331	1.805067399
1510	0.4409834884	1.804730832
1515	0.4412073337	1.804369556
1520	0.4414255263	1.804018285
1525	0.4417711306	1.803459736
1530	0.4420401957	1.803025295
1535	0.4422887075	1.802622823
1540	0.442530004	1.802232164
1545	0.4428182657	1.801766644
1550	0.4430362209	1.801414285
1555	0.4433329357	1.800935844
1560	0.4436606576	1.80040482
1565	0.4439067597	1.800005686
1570	0.444194391	1.799539663
1575	0.4444074359	1.799195447
1580	0.444641265	1.798816042
1585	0.4448831311	1.798423684
1590	0.4451177157	1.798045207
1595	0.4454183778	1.797558228
1600	0.4456733006	1.797144924
1605	0.4459181318	1.79674725
1610	0.4462216166	1.796254749
1615	0.4465127106	1.795783091
1620	0.44683233	1.795264969
1625	0.4470958098	1.794837217
1630	0.4473788393	1.79437634
1635	0.4476658446	1.793912355
1640	0.4479428948	1.793462108
1645	0.4482308734	1.792994822
1650	0.4484718856	1.792602065
1655	0.4487448348	1.79215886
1660	0.4490091472	1.791729052
1665	0.449273184	1.791299725
1670	0.4495384151	1.79086825
1675	0.4497977241	1.790446096
1680	0.4500269769	1.790073167
1685	0.450292115	1.789641177
1690	0.450566992	1.789194315
1695	0.4508177156	1.788787122
